"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 20 07:40:50 GMT 2020","Fri Nov 20 07:41:03 GMT 2020","12318","","User","","User","custom commands","custom commands",""
"passed","Fri Nov 20 07:40:48 GMT 2020","Fri Nov 20 07:40:50 GMT 2020","2106","","User","","User","register user thru HTTP","register user thru HTTP",""
"passed","Fri Nov 20 07:40:45 GMT 2020","Fri Nov 20 07:40:48 GMT 2020","3535","","User","","User","can register","can register","Тест на регистрацию пользователя"
