"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 18 15:23:11 GMT 2020","Wed Nov 18 15:23:13 GMT 2020","2418","","User","","User","register user thru HTTP","register user thru HTTP",""
"passed","Wed Nov 18 15:23:07 GMT 2020","Wed Nov 18 15:23:11 GMT 2020","4042","","User","","User","can register","can register",""
