"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 19 13:15:35 GMT 2020","Thu Nov 19 13:15:38 GMT 2020","3065","","User","","User","custom commands","custom commands",""
"passed","Thu Nov 19 13:15:29 GMT 2020","Thu Nov 19 13:15:32 GMT 2020","3696","","User","","User","can register","can register",""
"passed","Thu Nov 19 13:15:32 GMT 2020","Thu Nov 19 13:15:35 GMT 2020","2173","","User","","User","register user thru HTTP","register user thru HTTP",""
